venue,papers
Int. J. Bio Inspired Comput.,41
Int. J. Embed. Syst.,41
Int. J. Intell. Transp. Syst. Res.,41
Web Intell.,41
Ann. Math. Artif. Intell.,40
IEEE Veh. Technol. Mag.,40
Int. J. Big Data Intell.,40
INFORMS J. Comput.,40
J. Comput. Inf. Syst.,40
Int. J. Intell. Eng. Informatics,40
Int. J. Softw. Sci. Comput. Intell.,40
Vis. Comput. Ind. Biomed. Art,40
J. Syst. Sci. Complex.,40
Robotics,40
IEEE Trans. Inf. Technol. Biomed.,39
IEEE Embed. Syst. Lett.,39
J. Inf. Telecommun.,39
Pervasive Mob. Comput.,39
Oper. Res. Forum,39
Aust. J. Intell. Inf. Process. Syst.,38
Br. J. Educ. Technol.,38
Discov. Internet Things,38
IEEE Comput. Archit. Lett.,38
Int. J. Comput. Sci. Math.,38
Innov. Syst. Softw. Eng.,38
IEEE Computer Graphics and Applications,38
Int. J. Intell. Networks,38
J. Intell. Transp. Syst.,38
J. Comput. Assist. Learn.,38
J. Appl. Math. Comput.,38
Int. J. Inf. Comput. Secur.,38
J. Multim. Inf. Syst.,38
J. Networks,38
J. Robotics Netw. Artif. Life,38
Technol. Anal. Strateg. Manag.,38
Cybersecur.,37
Adv. Comput.,37
ACM Trans. Internet Techn.,37
Behav. Inf. Technol.,37
Comput. Inf. Sci.,37
Digit. Scholarsh. Humanit.,37
Int. J. Document Anal. Recognit.,37
Open Comput. Sci.,37
Sci. Eng. Ethics,37
Stat. Comput.,37
J. Softw. Evol. Process.,37
World Wide Web,37
Ann. des Télécommunications,36
EURASIP J. Image Video Process.,36
IBM J. Res. Dev.,36
Ind. Robot,36
Genom. Proteom. Bioinform.,36
Int. J. Robotics Autom.,36
Int. J. Heal. Inf. Syst. Informatics,36
J. Comput. Inf. Technol.,36
Proc. ACM Hum. Comput. Interact.,36
Electron. Commer. Res.,35
IEEE Instrum. Meas. Mag.,35
Int. Trans. Oper. Res.,35
Int. J. Inf. Technol. Web Eng.,35
Int. J. Semantic Comput.,35
Int. J. Internet Protoc. Technol.,35
Int. J. Parallel Program.,35
Int. J. Netw. Virtual Organisations,35
Manag. Sci.,35
ACM Journal on Computing and Cultural Heritage,34
Comput. Chem.,34
Int. J. Account. Inf. Syst.,34
Int. J. Intell. Robotics Appl.,34
Int. J. Parallel Emergent Distributed Syst.,34
J. Commun.,34
Webology,34
Knowl. Eng. Data Sci.,34
Electron. Mark.,33
Comput. Softw. Big Sci.,33
ACM Trans. Graph.,33
ACM SIGSOFT Softw. Eng. Notes,33
Comput. Aided Des.,33
Adapt. Behav.,33
IEEE Data Eng. Bull.,33
Fundam. Informaticae,33
IEEE Expert,33
IEEE Trans. Syst. Man Cybern. Part A,33
J. Cybersecur. Priv.,33
J. Decis. Syst.,33
J. Electron. Test.,33
it Inf. Technol.,33
Quant. Biol.,33
Quantum,33
SIGMOD Rec.,33
World Wide Web (WWW),33
Digit. Investig.,32
Bus. Inf. Syst. Eng.,32
Distributed Parallel Databases,32
Electron. Libr.,32
IEEE Trans. Broadcast.,32
IET Biom.,32
J. Inf. Process.,32
Int. J. Semantic Web Inf. Syst.,32
Intelligenza Artificiale,32
ACM Trans. Manag. Inf. Syst.,31
Cogn. Sci.,31
First Monday,31
Comput. Stat.,31
IEEE Trans. Learn. Technol.,31
IET Softw.,31
Inf. Syst. Res.,31
J. Comput. Virol. Hacking Tech.,31
Int. J. Inf. Technol. Manag.,31
J. Integr. Bioinform.,31
J. VLSI Signal Process.,31
Bio Algorithms Med Syst.,30
ACM Trans. Comput. Heal.,30
Adv. Comput. Math.,30
Autom. Remote. Control.,30
IEEE Technol. Soc. Mag.,30
IEEE Multim.,30
IEEE Trans. Sustain. Comput.,30
IEEE Trans. Speech Audio Process.,30
Int. J. Artif. Intell. Soft Comput.,30
IEEE Trans. Games,30
Int. J. Auton. Adapt. Commun. Syst.,30
J. Inf. Technol. Constr.,30
Int. J. Inf. Syst. Model. Des.,30
Int. J. Inf. Secur. Priv.,30
Int. J. Inf. Decis. Sci.,30
Int. J. Hum. Comput. Stud.,30
Int. J. Gen. Syst.,30
Softw. Qual. J.,30
Balt. J. Mod. Comput.,29
Comput. Sci. Eng.,29
Comput. Stat. Data Anal.,29
ACM J. Data Inf. Qual.,29
IEEE Intell. Transp. Syst. Mag.,29
Int. J. Comput. Intell. Stud.,29
IACR Trans. Cryptogr. Hardw. Embed. Syst.,29
Int. J. Autom. Control.,29
Int. J. Netw. Manag.,29
J. Ambient Intell. Smart Environ.,29
J. Knowl. Manag.,29
VLDB J.,29
Proc. ACM Program. Lang.,29
Vietnam. J. Comput. Sci.,29
Kybernetika,29
Electron. Commer. Res. Appl.,28
HMD Prax. Wirtsch.,28
Genet. Program. Evolvable Mach.,28
Int. J. Autom. Technol.,28
Int. J. Secur. Networks,28
Int. J. Multim. Inf. Retr.,28
Int. J. Swarm Intell. Res.,28
J. Commun. Networks,28
Multidimens. Syst. Signal Process.,28
Adv. Model. Simul. Eng. Sci.,27
ACM Trans. Inf. Syst.,27
Appl. Math. Lett.,27
Adv. Data Sci. Adapt. Anal.,27
AI Matters,27
Int. J. Distributed Syst. Technol.,27
Inf. Syst. E Bus. Manag.,27
J. Cases Inf. Technol.,27
Int. J. Grid High Perform. Comput.,27
Smart Learn. Environ.,27
Serv. Oriented Comput. Appl.,27
J. Robotics,27
Sci. China Ser. F Inf. Sci.,27
J. Reliab. Intell. Environ.,27
Eur. J. Control,26
Int. J. Cloud Comput.,26
Informatica,26
Inf. Technol. People,26
J. Comb. Optim.,26
J. Cogn. Neurosci.,26
Int. J. Online Eng.,26
J. Math. Imaging Vis.,26
J. Database Manag.,26
Sci. Comput. Program.,26
Comput. Sci.,25
Appl. Comput. Syst.,25
Int. J. E Health Medical Commun.,25
IEEE Robotics Autom. Mag.,25
IEEE Trans. Green Commun. Netw.,25
Int. J. Appl. Decis. Sci.,25
Int. J. Ambient Comput. Intell.,25
J. Cyber Secur. Mobil.,25
J. Heal. Informatics Res.,25
Int. J. Organ. Collect. Intell.,25
Int. J. Inf. Retr. Res.,25
Proc. Natl. Acad. Sci. USA,25
Proc. ACM Manag. Data,25
Memetic Comput.,25
CCF Trans. High Perform. Comput.,24
Comput. Sci. J. Moldova,24
Commun. Stat. Simul. Comput.,24
Inf. Res.,24
IEEE Netw. Lett.,24
J. Multiple Valued Log. Soft Comput.,24
J. Commun. Inf. Networks,24
J. Inf. Technol. Res.,24
Int. J. Inf. Commun. Technol. Educ.,24
Oper. Res.,24
New Media Soc.,24
EAI Endorsed Trans. e Learn.,23
Digit.,23
IEEE Trans. Circuits Syst.,23
Int. J. Comput. Sci. Sport,23
Int. J. Decis. Support Syst. Technol.,23
Int. J. Comput. Aided Eng. Technol.,23
IET Inf. Secur.,23
Int. J. Netw. Secur.,23
Int. J. Manuf. Res.,23
J. Inf. Technol. Tour.,23
Int. J. Intell. Inf. Database Syst.,23
Microprocess. Microprogramming,23
RITA,23
SIGMETRICS Perform. Evaluation Rev.,23
Ubiquity,23
Ann. GIS,22
EURASIP J. Inf. Secur.,22
Concurr. Eng. Res. Appl.,22
Int. J. Biomed. Imaging,22
GeoInformatica,22
IEICE Trans. Electron.,22
IEEE Trans. Signal Inf. Process. over Networks,22
Int. J. Digit. Crime Forensics,22
J. Comput. Syst. Sci.,22
Int. J. Web Eng. Technol.,22
J. Braz. Comput. Soc.,22
Int. J. Manuf. Technol. Manag.,22
J. Comput. Graph. Stat.,22
Intell. Serv. Robotics,22
J. Comput. Sci. Eng.,22
Int. J. Law Inf. Technol.,22
J. Vis.,22
Multimodal Technol. Interact.,22
Veh. Commun.,22
Adv. Multim.,21
EAI Endorsed Trans. Ind. Networks Intell. Syst.,21
Inf. Technol. Manag.,21
Inform. Spektrum,21
IEEE Trans. Educ.,21
Int. J. Wirel. Inf. Networks,21
Int. J. Web Based Communities,21
Proces. del Leng. Natural,21
SIGART Bull.,21
ACM Trans. Interact. Intell. Syst.,20
Digit. Soc.,20
Data Sci. Eng.,20
Data Intell.,20
Int. J. Comput. Biol. Drug Des.,20
Inf. Serv. Use,20
Inf. Process. Lett.,20
Int. J. Agric. Environ. Inf. Syst.,20
IEEE J. Sel. Areas Inf. Theory,20
Int. J. High Perform. Comput. Appl.,20
J. High Speed Networks,20
J. Complex.,20
Semantic Web,20
Mechatron. Syst. Control.,20
SIAM J. Imaging Sci.,20
Sci. Robotics,20
Wirtschaftsinformatik Manag.,20
EPJ Data Sci.,19
Comput. Appl. Biosci.,19
Comput. Linguistics,19
ACM Trans. Sens. Networks,19
